"filename", "language", "C", "Markdown", "comment", "blank", "total"
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\app\entry.h", "C", 94, 0, 23, 38, 155
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\app\remote.c", "C", 243, 0, 125, 74, 442
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\app\remote.h", "C", 14, 0, 23, 10, 47
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\bus_motor\README.md", "Markdown", 0, 104, 0, 39, 143
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\bus_motor\agv_motor.c", "C", 17, 0, 14, 9, 40
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\bus_motor\agv_motor.h", "C", 10, 0, 28, 12, 50
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\bus_motor\bus_motor.c", "C", 117, 0, 59, 40, 216
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\bus_motor\bus_motor.h", "C", 80, 0, 138, 33, 251
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\bus_motor\dji_motor.c", "C", 336, 0, 58, 78, 472
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\bus_motor\dji_motor.h", "C", 14, 0, 28, 12, 54
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\bus_motor\dm_motor.c", "C", 437, 0, 64, 116, 617
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\bus_motor\dm_motor.h", "C", 20, 0, 41, 15, 76
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\bus_servo\README.md", "Markdown", 0, 130, 0, 47, 177
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\bus_servo\bus_servo.c", "C", 68, 0, 35, 24, 127
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\bus_servo\bus_servo.h", "C", 64, 0, 33, 14, 111
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\bus_servo\ft_scs_servo.c", "C", 592, 0, 371, 177, 1140
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\bus_servo\ft_scs_servo.h", "C", 63, 0, 97, 15, 175
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\bus_servo\zhong_ling_servo.c", "C", 452, 0, 7, 102, 561
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\bus_servo\zhong_ling_servo.h", "C", 46, 0, 59, 13, 118
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\fs_ia10b.c", "C", 192, 0, 127, 70, 389
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\fs_ia10b.h", "C", 19, 0, 40, 14, 73
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\gw_gray.c", "C", 103, 0, 4, 39, 146
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\gw_gray.h", "C", 26, 0, 7, 12, 45
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\imu\README.md", "Markdown", 0, 159, 0, 61, 220
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\imu\bmi088.c", "C", 961, 0, 186, 234, 1381
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\imu\bmi088.h", "C", 73, 0, 69, 22, 164
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\imu\imu.c", "C", 99, 0, 2, 35, 136
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\imu\imu.h", "C", 98, 0, 90, 32, 220
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\imu\imu_attitude.c", "C", 552, 0, 4, 132, 688
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\imu\imu_attitude.h", "C", 52, 0, 55, 21, 128
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\rgb_led\README.md", "Markdown", 0, 121, 0, 43, 164
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\rgb_led\rgb_led.c", "C", 62, 0, 2, 22, 86
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\rgb_led\rgb_led.h", "C", 60, 0, 81, 24, 165
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\rgb_led\ws2812_rgb_led.c", "C", 181, 0, 4, 53, 238
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\device\rgb_led\ws2812_rgb_led.h", "C", 11, 0, 30, 11, 52
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\domain\README.md", "Markdown", 0, 49, 0, 21, 70
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\domain\serial_arm\five_dof_arm_kine.c", "C", 126, 0, 142, 32, 300
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\domain\serial_arm\five_dof_arm_kine.h", "C", 44, 0, 127, 15, 186
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\domain\serial_arm\serial_arm_kine.c", "C", 647, 0, 35, 115, 797
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\domain\serial_arm\serial_arm_kine.h", "C", 149, 0, 201, 29, 379
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\domain\serial_arm\six_dof_arm_kine.c", "C", 351, 0, 106, 85, 542
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\domain\serial_arm\six_dof_arm_kine.h", "C", 98, 0, 138, 28, 264
"d:\Desktop\Learn\AgroTech\China-AI-Robot-Competition\Steering-Wheel-Chassis\src\domain\steer_wheel_kine.c", "C", 127, 0, 40, 40, 207
